Title,Body,Milestone,Labels,Assignee(role),Priority,Estimate(days),Phase,WorkPackage
[10.2] 알림 채널,"**Phase:** 10 · 알림  
**담당자:** 개발자 A (Dev-A)  
**우선순위:** P0  ·  **예상 공수:** 10.5d  ·  **작업 수:** 8  ·  **일정:** W11–W13

### 작업 목록
- [ ] **10.2.1** FCM (앱 푸시) 발송 `M` `P0` — FCM 앱 푸시 발송 edge function. 참고: docs/05 §8, §16.6.1
- [ ] **10.2.2** 이메일 발송 (SendGrid/Resend) `S` `P0` — 이메일 발송(SendGrid/Resend) edge function. 참고: docs/05 §8
- [ ] **10.2.3** SMS 발송 (응급용) `M` `P1` — SMS 발송(응급용, P1).
- [ ] **10.2.4** 사용자별 채널 설정 조회 `XS` `P0` — 사용자별 알림 채널 설정 조회. 참고: wireframes/web/27-guardian-notification-settings.svg
- [ ] **10.2.5** 사용자별 채널 설정 수정 `S` `P0` — 알림 채널 설정 수정.
- [ ] **10.2.6** 알림 유형별 토글 (매트릭스) `S` `P0` — 알림 유형별 on/off 토글 매트릭스. 참고: wireframes/web/27-guardian-notification-settings.svg
- [ ] **10.2.7** 방해 금지 시간대 설정 `S` `P1` — 방해 금지 시간대 설정(P1).
- [ ] **10.2.8** 푸시 토큰 등록 (앱 설치) `S` `P0` — 앱 설치 시 푸시 토큰 등록. 참고: §16.6.1

> 원본: docs/08-wbs-v1.1.md · 알림 채널",Phase 10 · 알림,"phase:10,priority:P0,type:backend,role:Dev-A",개발자 A,P0,10.5,10,알림 채널
[11] 접근 로그 (Audit),"**Phase:** 11 · 접근 로그  
**담당자:** PL (PL)  
**우선순위:** P0  ·  **예상 공수:** 14.5d  ·  **작업 수:** 10  ·  **일정:** W12–W13

### 작업 목록
- [ ] **11.1** 모든 read 자동 로깅 (트리거) `M` `P0` — 모든 read 자동 로깅 트리거(누가 무엇을 열람). 참고: docs/02 §2(access_logs), docs/05 §9 접근 로그 조회
- [ ] **11.2** 모든 write 자동 로깅 (트리거) `S` `P0` — 모든 write 자동 로깅 트리거. 참고: docs/03 §RLS
- [ ] **11.3** 권한 외 시도 별도 로깅 `S` `P0` — 권한 외 접근 시도 별도 로깅. 참고: docs/05 §11 보안 흐름
- [ ] **11.4** 당사자별 접근 로그 조회 `M` `P0` — 당사자별 접근 로그 조회(보호자 투명성). 참고: docs/05 §9, wireframes/web/22-guardian-access-log.svg
- [ ] **11.5** 접근 로그 필터 (날짜·접근자·동작) `S` `P0` — 접근 로그 필터(날짜·접근자·동작).
- [ ] **11.6** 이상 활동 자동 감지 (rule engine) `M` `P1` — 이상 활동 자동 감지 rule engine(P1). 참고: docs/05 §11
- [ ] **11.7** 로그 CSV 내보내기 `S` `P0` — 접근 로그 CSV 내보내기.
- [ ] **11.8** 월간 보고서 자동 발송 (cron) `S` `P1` — 월간 접근 보고서 자동 발송 cron(P1).
- [ ] **11.9** ✨ NEW 로그 파기 배치 (purge_expired_audit_logs + pg_cron) `S` `P0` — append-only 로그(access_logs·permission_logs)의 보유기간 경과분을 service_role(RLS 우회)로 파기하는 배치. `purge_expired_audit_logs(p_retention interval)` 함수(SECURITY DEFINER·service_role EXECUTE 전용) + pg_cron 스케줄. 사용자 불변 RLS는 유지(불변=사용자 변조 방지, 파기=시스템 배치). 보유기간 수치는 docs/16 §4.1·§9 #1 법무 확정 전 🟡 TBD. 참고: docs/13 §4.1, docs/16 §4.3
- [ ] **11.10** ✨ NEW soft-delete hard-delete 배치 `S` `P1` — 사용자 대면 테이블의 soft-delete 행(deleted_at IS NOT NULL)을 유예기간 경과 후 물리 삭제하는 service_role 배치(P1). persons 파기 시 연결된 records·self_expressions·record_files·매핑·secure_identifiers·consents 동시 처리, record_files는 Storage 객체도 동시 hard delete. 유예기간은 🟡 TBD. 참고: docs/16 §4.2·§4.3, docs/02 §5

> 원본: docs/08-wbs-v1.1.md · 접근 로그 (Audit)",Phase 11 · 접근 로그,"phase:11,priority:P0,type:security,role:PL",PL,P0,14.5,11,접근 로그 (Audit)
[11.5] 백엔드 통합 테스트 체크포인트,"**Phase:** 11.5 · 백엔드 통합 테스트 체크포인트  
**담당자:** PM (PM)  
**우선순위:** P0  ·  **예상 공수:** 7.5d  ·  **작업 수:** 3  ·  **일정:** W13

### 작업 목록
- [ ] **11.5.1** ✨ NEW API 통합 테스트 전체 실행 (핵심 워크플로우 5개) `M` `P0` — 핵심 워크플로우 5개(가입~당사자 등록~권한 부여 / 기록 작성~조회 / 자기표현~보호자 알림 / 인계 생성~확인 / 권한 회수~접근 차단)를 실 Supabase 연동 Supertest로 엔드투엔드 검증.
- [ ] **11.5.2** ✨ NEW RLS 정책 전체 자동 검증 (pgTAP) `M` `P0` — Phase 1~11에서 작성한 모든 RLS 정책(records·self_expressions·permissions·access_logs 등)을 한 번에 회귀 검증하는 pgTAP 마스터 스위트.
- [ ] **11.5.3** ✨ NEW 역할별 접근 시나리오 통합 테스트 `M` `P0` — 보호자·당사자·전문가 4역할 각각이 자신의 권한 범위 안/밖 리소스에 접근하는 시나리오를 통합 검증(권한 매트릭스 정합성).

> 원본: docs/08-wbs-v1.1.md · 백엔드 통합 테스트 체크포인트",Phase 11.5 · 백엔드 통합 테스트,"phase:11.5,priority:P0,type:qa,role:PM",PM,P0,7.5,11.5,백엔드 통합 테스트 체크포인트
[12.1] 토큰 (07-design-system.md 기반),"**Phase:** 12 · 디자인 시스템  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 3d  ·  **작업 수:** 4  ·  **일정:** W4–W6

### 작업 목록
- [ ] **12.1.1** 컬러 토큰 (Primary·Domain×6·Status) `S` `P0` — 컬러 토큰(Primary·6 도메인 컬러·Status). 참고: docs/07-design-system.md §1 컬러 시스템, §10 Tailwind 설정
- [ ] **12.1.2** 타이포 토큰 (Pretendard 스케일) `XS` `P0` — 타이포 토큰(Pretendard 스케일). 참고: docs/07 §2 타이포그래피
- [ ] **12.1.3** 스페이싱·반경·그림자 토큰 `XS` `P0` — 스페이싱·보더 레디어스·엘리베이션 토큰. 참고: docs/07 §3·§4·§5
- [ ] **12.1.4** 접근성 토큰 (당사자 모드: 큰글씨·고대비) `S` `P0` — 당사자 접근성 토큰(큰 글씨·고대비). 참고: docs/07 §9 당사자 접근성 모드

> 원본: docs/08-wbs-v1.1.md · 토큰 (07-design-system.md 기반)",Phase 12 · 디자인 시스템,"phase:12,priority:P0,type:design,role:Dev-C",개발자 C,P0,3,12,토큰 (07-design-system.md 기반)
[12.2] Primitives,"**Phase:** 12 · 디자인 시스템  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 5.5d  ·  **작업 수:** 8  ·  **일정:** W4–W6

### 작업 목록
- [ ] **12.2.1** Button (variant: primary/secondary/destructive) `S` `P0` — Button(primary/secondary/destructive). 참고: docs/07 §8 컴포넌트 라이브러리(Button)
- [ ] **12.2.2** Input (text/email/password/number) `S` `P0` — Input(text/email/password/number). 참고: docs/07 §8(Input)
- [ ] **12.2.3** TextArea `XS` `P0` — TextArea. 참고: docs/07 §8
- [ ] **12.2.4** Select / Dropdown `S` `P0` — Select/Dropdown. 참고: docs/07 §8
- [ ] **12.2.5** Checkbox / Radio `XS` `P0` — Checkbox/Radio. 참고: docs/07 §8
- [ ] **12.2.6** Toggle / Switch `XS` `P0` — Toggle/Switch. 참고: docs/07 §8
- [ ] **12.2.7** Badge (도메인 컬러 6 variant) `XS` `P0` — Badge(도메인 6 컬러 variant). 참고: docs/07 §1 도메인 컬러·§8
- [ ] **12.2.8** Avatar `XS` `P0` — Avatar. 참고: docs/07 §8

> 원본: docs/08-wbs-v1.1.md · Primitives",Phase 12 · 디자인 시스템,"phase:12,priority:P0,type:design,role:Dev-C",개발자 C,P0,5.5,12,Primitives
[12.3] Composite Components,"**Phase:** 12 · 디자인 시스템  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 6.5d  ·  **작업 수:** 5  ·  **일정:** W4–W6

### 작업 목록
- [ ] **12.3.1** RecordCard (도메인별 컬러 + 첨부 미리보기) `S` `P0` — RecordCard(도메인 컬러+첨부 미리보기). 참고: docs/07 §8 컴포넌트 라이브러리(RecordCard)
- [ ] **12.3.2** PersonCard (당사자 카드) `S` `P0` — PersonCard(당사자 카드). 참고: docs/07 §8
- [ ] **12.3.3** NotificationCard (3 type variant) `S` `P0` — NotificationCard(3 type variant). 참고: docs/07 §8
- [ ] **12.3.4** IconSelectorCard (ST-08, 자기표현 전용) `M` `P0` — IconSelectorCard(자기표현 전용, 큰 아이콘). 참고: docs/07 §6 아이콘·§9, docs/06 §6 Flow-1
- [ ] **12.3.5** StepIndicator (위자드 진행) `S` `P0` — StepIndicator(위자드 진행 표시). 참고: docs/07 §8, docs/06 §6 플로우

> 원본: docs/08-wbs-v1.1.md · Composite Components",Phase 12 · 디자인 시스템,"phase:12,priority:P0,type:design,role:Dev-C",개발자 C,P0,6.5,12,Composite Components
[12.4] 레이아웃 셀,"**Phase:** 12 · 디자인 시스템  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 7d  ·  **작업 수:** 4  ·  **일정:** W4–W6

### 작업 목록
- [ ] **12.4.1** 웹 Sidebar (240px ↔ 64px 접힘) `M` `P0` — 웹 Sidebar(240px↔64px 접힘). 참고: docs/06 §2 내비게이션 패턴, docs/07 §8
- [ ] **12.4.2** 웹 GlobalHeader (검색·알림·프로필) `S` `P0` — 웹 GlobalHeader(검색·알림·프로필). 참고: docs/06 §4 반응형 웹 IA
- [ ] **12.4.3** 모바일 BottomTabBar (역할별 variant) `M` `P0` — 모바일 BottomTabBar(역할별 variant). 참고: docs/06 §5 모바일 앱 IA, §2 내비게이션
- [ ] **12.4.4** 모바일 NavigationBar (Push 스택용) `S` `P0` — 모바일 NavigationBar(Push 스택용). 참고: docs/06 §5

> 원본: docs/08-wbs-v1.1.md · 레이아웃 셀",Phase 12 · 디자인 시스템,"phase:12,priority:P0,type:design,role:Dev-C",개발자 C,P0,7,12,레이아웃 셀
[13.1] 인증 화면,"**Phase:** 13 · 웹 UI — 보호자  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 11d  ·  **작업 수:** 8  ·  **일정:** W7–W11

### 작업 목록
- [ ] **13.1.1** A-01 로그인 `S` `P0` — 보호자 로그인 화면(이메일·소셜). 참고: docs/06 §4 반응형 웹 IA, wireframes/web/01-login.svg
- [ ] **13.1.2** A-03 회원가입·역할 선택 `S` `P0` — 회원가입 역할 선택. 참고: docs/05 §1 온보딩, wireframes/web/11-signup-role.svg
- [ ] **13.1.3** A-04 회원가입·기본정보 `S` `P0` — 회원가입 기본정보 입력. 참고: wireframes/web/12-signup-profile.svg
- [ ] **13.1.4** A-05 이메일 인증 `S` `P0` — 이메일 인증 화면. 참고: wireframes/web/13-signup-verify.svg
- [ ] **13.1.5** A-06 초대 링크 수락 `M` `P0` — 초대 링크 수락 화면. 참고: docs/05 §1, wireframes/web/14-invite-accept.svg
- [ ] **13.1.6** A-07 비밀번호 재설정 `S` `P0` — 비밀번호 재설정 화면. 참고: wireframes/web/15-reset-password.svg
- [ ] **13.1.7** ✨ NEW A-08 동의 수집 화면 `M` `P0` — 회원가입·당사자 등록 플로우 내 동의 수집 단계 — 필수/선택 분리 체크박스, 민감정보·고유식별정보 별도 동의, 14세 미만·피후견인 대리동의 안내. policy_version 표시, A-09/A-10 전문 보기 진입. 일괄 동의 금지(PIPA §22⑤). 참고: docs/05 §1-3, docs/16 §2·§3, wireframes/web/63-signup-consent.svg
- [ ] **13.1.8** ✨ NEW A-09 이용약관 · A-10 처리방침 전문 페이지 `S` `P1` — 정적 전문 페이지(PIPA §30 게시 의무) — 이용약관(A-09)·개인정보 처리방침(A-10). A-08 전문 보기·푸터·설정에서 진입. 버전·시행일 표기, 변경 고지 연계(docs/16 §7). 콘텐츠는 17.4.x(법무) 산출물 게시. 참고: docs/16 §7, wireframes/web/64-legal-terms.svg·65-legal-privacy.svg

> 원본: docs/08-wbs-v1.1.md · 인증 화면",Phase 13 · 웹 UI — 보호자,"phase:13,priority:P0,type:frontend,role:Dev-C",개발자 C,P0,11,13,인증 화면
[13.2] 메인 화면,"**Phase:** 13 · 웹 UI — 보호자  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 37.5d  ·  **작업 수:** 15  ·  **일정:** W7–W11

### 작업 목록
- [ ] **13.2.1** G-01 대시보드 `M` `P0` — 보호자 대시보드(당사자 목록·최근 활동·알림). 참고: docs/04 §1 보호자, wireframes/web/02-guardian-dashboard.svg
- [ ] **13.2.2** G-02 당사자 프로필 `M` `P0` — 당사자 프로필(요약·권한 현황). 참고: wireframes/web/16-guardian-person-profile.svg
- [ ] **13.2.3** G-03 당사자 등록 위자드 (5 step) `L` `P0` — 당사자 등록 위자드 5스텝. 참고: docs/04 §1, wireframes/web/17-guardian-person-register.svg
- [ ] **13.2.4** G-10 타임라인 `M` `P0` — 생애주기 타임라인. 참고: docs/05 §6, wireframes/web/03-timeline.svg
- [ ] **13.2.5** G-20 기록 관리 (전체) `M` `P0` — 전체 기록 관리. 참고: wireframes/web/04-record-list.svg
- [ ] **13.2.6** G-21 분야별 기록 목록 `S` `P0` — 도메인별 기록 목록. 참고: wireframes/web/18-guardian-records-domain.svg
- [ ] **13.2.7** G-22 기록 상세 (Split) `M` `P0` — 기록 상세(Split 뷰). 참고: wireframes/web/05-record-detail.svg
- [ ] **13.2.8** G-23 기록 작성 (5 step) `L` `P0` — 기록 작성 위자드 5스텝(도메인별 분기). 참고: docs/05 §4 기록 작성 공통, wireframes/web/06-record-form.svg
- [ ] **13.2.9** G-24 기록 수정 `S` `P0` — 기록 수정. 참고: wireframes/web/19-guardian-record-edit.svg
- [ ] **13.2.10** G-30 권한 매트릭스 `M` `P0` — 권한 매트릭스(이해관계자×도메인). 참고: wireframes/web/07-permission-matrix.svg
- [ ] **13.2.11** G-31 이해관계자 상세 `S` `P0` — 이해관계자 상세(받은 권한·이력). 참고: wireframes/web/20-guardian-stakeholder-detail.svg
- [ ] **13.2.12** G-32 권한 부여 위자드 (4 step) `L` `P0` — 권한 부여 위자드 4스텝. 참고: docs/06 §6, wireframes/web/21-guardian-grant-wizard.svg
- [ ] **13.2.13** G-33/34 권한 수정·회수 모달 `S` `P0` — 권한 수정·회수 모달. 참고: wireframes/web/28-guardian-permission-modals.svg
- [ ] **13.2.14** G-40 접근 로그 `M` `P0` — 접근 로그 화면. 참고: docs/05 §9, wireframes/web/22-guardian-access-log.svg
- [ ] **13.2.15** G-50 알림 `S` `P0` — 알림 목록. 참고: wireframes/web/23-guardian-notifications.svg

> 원본: docs/08-wbs-v1.1.md · 메인 화면",Phase 13 · 웹 UI — 보호자,"phase:13,priority:P0,type:frontend,role:Dev-C",개발자 C,P0,37.5,13,메인 화면
[13.3] 설정 화면,"**Phase:** 13 · 웹 UI — 보호자  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 10.5d  ·  **작업 수:** 6  ·  **일정:** W7–W11

### 작업 목록
- [ ] **13.3.1** G-60 설정 허브 `S` `P0` — 설정 허브. 참고: wireframes/web/10-settings.svg
- [ ] **13.3.2** G-61 프로필 편집 `S` `P0` — 프로필 편집. 참고: wireframes/web/24-guardian-profile-edit.svg
- [ ] **13.3.3** G-62 당사자 정보 편집 `M` `P0` — 당사자 정보 편집. 참고: wireframes/web/25-guardian-person-edit.svg
- [ ] **13.3.4** G-63 응급 정보 편집 `M` `P0` — 응급 정보 편집(추가 인증). 참고: wireframes/web/26-guardian-emergency-edit.svg
- [ ] **13.3.5** G-64 알림 설정 `S` `P0` — 알림 설정. 참고: wireframes/web/27-guardian-notification-settings.svg
- [ ] **13.3.6** ✨ NEW G-65 동의·권리 관리 화면 `M` `P1` — 개인정보·동의 관리(PIPA §5 권리행사 창구) — 동의 현황 조회·선택 동의 철회(granted=false 신규 행)·데이터 내보내기. 설정 허브(G-60) 하위 진입. 참고: docs/16 §5, docs/05 §1-3, wireframes/web/66-guardian-consent-mgmt.svg

> 원본: docs/08-wbs-v1.1.md · 설정 화면",Phase 13 · 웹 UI — 보호자,"phase:13,priority:P0,type:frontend,role:Dev-C",개발자 C,P0,10.5,13,설정 화면
"[14] 웹 UI — 당사자 (Person, 접근성 모드, 10 screens)","**Phase:** 14 · 웹 UI — 당사자(접근성)  
**담당자:** 개발자 C (Dev-C)  
**우선순위:** P0  ·  **예상 공수:** 19d  ·  **작업 수:** 10  ·  **일정:** W10–W12

### 작업 목록
- [ ] **14.1** P-01 오늘 기록 홈 `M` `P0` — 당사자 오늘 기록 홈(큰 CTA). 참고: docs/04 §2 당사자, docs/07 §9, wireframes/web/08-person-home.svg
- [ ] **14.2** P-02 자기표현 위자드 (Flow-1) `L` `P0` — 자기표현 위자드(Flow-1, 아이콘 기반). 참고: docs/06 §6 Flow-1, wireframes/web/09-self-expression.svg
- [ ] **14.3** P-03 자기표현 완료 애니메이션 `XS` `P0` — 자기표현 완료 애니메이션(긍정 피드백). 참고: docs/07 §7 모션 & 애니메이션
- [ ] **14.4** P-10 내 기록 (분야 그리드) `S` `P0` — 내 기록 분야 그리드. 참고: wireframes/web/29-person-records.svg
- [ ] **14.5** P-11 기록 상세 (쉬운 요약) `M` `P0` — 기록 상세(쉬운 요약 summary 필드). 참고: wireframes/web/30-person-record-detail.svg
- [ ] **14.6** P-20 설정 허브 (큰 카드) `XS` `P0` — 설정 허브(큰 카드). 참고: wireframes/web/31-person-settings.svg
- [ ] **14.7** P-21 접근성 설정 `M` `P0` — 접근성 설정(글씨·대비·TTS). 참고: docs/07 §9, wireframes/web/32-person-accessibility.svg
- [ ] **14.8** P-22 내 정보 `S` `P0` — 내 정보. 참고: wireframes/web/33-person-profile.svg
- [ ] **14.9** P-30 알림 (큰 카드) `S` `P0` — 알림(큰 카드). 참고: wireframes/web/34-person-notifications.svg
- [ ] **14.10** 접근성 모드 자동 적용 (theme switch) `M` `P0` — 접근성 모드 자동 적용(theme switch). 참고: docs/07 §9 당사자 접근성 모드, tokens-a11y

> 원본: docs/08-wbs-v1.1.md · 웹 UI — 당사자 (Person, 접근성 모드, 10 screens)",Phase 14 · 웹 UI — 당사자(접근성),"phase:14,priority:P0,type:frontend,role:Dev-C",개발자 C,P0,19,14,"웹 UI — 당사자 (Person, 접근성 모드, 10 screens)"
[15.1] 활동지원사 (S),"**Phase:** 15 · 웹 UI — 전문가(4역할)  
**담당자:** 개발자 D (Dev-D)  
**우선순위:** P0  ·  **예상 공수:** 13.5d  ·  **작업 수:** 8  ·  **일정:** W9–W14

### 작업 목록
- [ ] **15.1.1** S-01 홈 `S` `P0` — 활동지원사 홈. 참고: docs/04 §3 활동지원사, wireframes/web/35-supporter-home.svg
- [ ] **15.1.2** S-10 일지 목록 `S` `P0` — 일지 목록. 참고: wireframes/web/36-supporter-journal-list.svg
- [ ] **15.1.3** S-11 일지 상세 `S` `P0` — 일지 상세. 참고: wireframes/web/37-supporter-journal-detail.svg
- [ ] **15.1.4** S-12 일지 작성 위자드 (5 step, Flow-4) `L` `P0` — 일지 작성 위자드 5스텝(Flow-4). 참고: docs/06 §6 Flow-4, wireframes/web/38-supporter-journal-form.svg
- [ ] **15.1.5** S-13 일지 수정 `S` `P0` — 일지 수정. 참고: wireframes/web/38-supporter-journal-form.svg
- [ ] **15.1.6** S-20 인수인계 목록 `S` `P0` — 인수인계 목록. 참고: wireframes/web/39-supporter-handover-list.svg
- [ ] **15.1.7** S-21 인수인계 상세 `M` `P0` — 인수인계 상세(확인 처리). 참고: docs/05 §7, wireframes/web/40-supporter-handover-detail.svg
- [ ] **15.1.8** S-30/40 알림+설정 통합 `S` `P0` — 알림+설정 통합. 참고: wireframes/web/41-supporter-notifications-settings.svg

> 원본: docs/08-wbs-v1.1.md · 활동지원사 (S)",Phase 15 · 웹 UI — 전문가(4역할),"phase:15,priority:P0,type:frontend,role:Dev-D",개발자 D,P0,13.5,15,활동지원사 (S)
[15.2] 특수교사 (T),"**Phase:** 15 · 웹 UI — 전문가(4역할)  
**담당자:** 개발자 D (Dev-D)  
**우선순위:** P0  ·  **예상 공수:** 27d  ·  **작업 수:** 11  ·  **일정:** W9–W14

### 작업 목록
- [ ] **15.2.1** T-01 홈 (담당 학생) `M` `P0` — 교사 홈(담당 학생). 참고: docs/04 §4 특수교사, wireframes/web/42-teacher-home.svg
- [ ] **15.2.2** T-11 IEP 목록 `S` `P0` — IEP 목록. 참고: wireframes/web/43-teacher-iep-list.svg
- [ ] **15.2.3** T-12 IEP 상세 `M` `P0` — IEP 상세. 참고: wireframes/web/44-teacher-iep-detail.svg
- [ ] **15.2.4** T-13 IEP 작성 위자드 (6 step, Flow-5) `XL` `P0` — IEP 작성 위자드 6스텝(Flow-5·최대 공수). 참고: docs/06 §6 Flow-5, docs/02 §3 JSONB(EDU-001), wireframes/web/45-teacher-iep-form.svg
- [ ] **15.2.5** T-14 IEP 점검 `M` `P0` — IEP 중간 점검. 참고: wireframes/web/46-teacher-iep-review.svg
- [ ] **15.2.6** T-15 관찰 기록 목록 `S` `P0` — 관찰 기록 목록. 참고: wireframes/web/47-teacher-observation.svg
- [ ] **15.2.7** T-16 관찰 기록 작성 `M` `P0` — 관찰 기록 작성. 참고: wireframes/web/47-teacher-observation.svg
- [ ] **15.2.8** T-17 전환교육 목록 `S` `P0` — 전환교육 목록. 참고: wireframes/web/48-teacher-transition.svg
- [ ] **15.2.9** T-18 전환교육 작성 (4 step) `L` `P0` — 전환교육 작성 4스텝. 참고: wireframes/web/48-teacher-transition.svg
- [ ] **15.2.10** T-20 교육 타임라인 `S` `P0` — 교육 타임라인(도메인 필터). 참고: wireframes/web/49-teacher-timeline.svg
- [ ] **15.2.11** T-30/40 알림+설정 `S` `P0` — 알림+설정. 참고: wireframes/web/50-teacher-notifications-settings.svg

> 원본: docs/08-wbs-v1.1.md · 특수교사 (T)",Phase 15 · 웹 UI — 전문가(4역할),"phase:15,priority:P0,type:frontend,role:Dev-D",개발자 D,P0,27,15,특수교사 (T)
[15.3] 사회복지사 (W),"**Phase:** 15 · 웹 UI — 전문가(4역할)  
**담당자:** 개발자 D (Dev-D)  
**우선순위:** P0  ·  **예상 공수:** 35.5d  ·  **작업 수:** 12  ·  **일정:** W9–W14

### 작업 목록
- [ ] **15.3.1** W-01 홈 `M` `P0` — 복지사 홈. 참고: docs/04 §5 사회복지사, wireframes/web/51-worker-home.svg
- [ ] **15.3.2** W-11 ISP 목록 `S` `P0` — ISP 목록. 참고: wireframes/web/52-worker-isp.svg
- [ ] **15.3.3** W-12 ISP 상세 `M` `P0` — ISP 상세. 참고: wireframes/web/52-worker-isp.svg
- [ ] **15.3.4** W-13 ISP 작성 (5 step) `XL` `P0` — ISP 작성 위자드 5스텝(최대 공수). 참고: docs/02 §3 JSONB(WEL-004), wireframes/web/53-worker-isp-form.svg
- [ ] **15.3.5** W-14 ISP 점검 `M` `P0` — ISP 중간 점검. 참고: wireframes/web/52-worker-isp.svg
- [ ] **15.3.6** W-15 전환계획 목록 `S` `P0` — 전환계획 목록. 참고: wireframes/web/54-worker-transition.svg
- [ ] **15.3.7** W-16 전환계획 작성 (5 step) `XL` `P0` — 전환계획 작성 5스텝(최대 공수). 참고: docs/02 §3 JSONB(TRA-001), wireframes/web/54-worker-transition.svg
- [ ] **15.3.8** W-17 서비스 이용 현황 (매트릭스) `M` `P0` — 서비스 이용 현황 매트릭스. 참고: wireframes/web/55-worker-service-matrix.svg
- [ ] **15.3.9** W-20 복지+전환 타임라인 `M` `P0` — 복지+전환 타임라인.
- [ ] **15.3.10** W-30 인수인계 목록 `S` `P0` — 인수인계 목록.
- [ ] **15.3.11** W-31 인수인계 생성 (4 step, Flow-6) `L` `P0` — 인수인계 생성 4스텝(Flow-6). 참고: docs/06 §6 Flow-6, wireframes/web/56-worker-handover-create.svg
- [ ] **15.3.12** W-40/50 알림+설정 `S` `P0` — 알림+설정. 참고: wireframes/web/57-worker-notifications-settings.svg

> 원본: docs/08-wbs-v1.1.md · 사회복지사 (W)",Phase 15 · 웹 UI — 전문가(4역할),"phase:15,priority:P0,type:frontend,role:Dev-D",개발자 D,P0,35.5,15,사회복지사 (W)
[15.4] 치료사 (TH),"**Phase:** 15 · 웹 UI — 전문가(4역할)  
**담당자:** 개발자 D (Dev-D)  
**우선순위:** P0  ·  **예상 공수:** 24d  ·  **작업 수:** 10  ·  **일정:** W9–W14

### 작업 목록
- [ ] **15.4.1** TH-01 홈 (오늘 회기) `M` `P0` — 치료사 홈(오늘 회기). 참고: docs/04 §6 치료사, wireframes/web/58-therapist-home.svg
- [ ] **15.4.2** TH-11 치료계획서 목록 `S` `P0` — 치료계획서 목록. 참고: wireframes/web/59-therapist-plan.svg
- [ ] **15.4.3** TH-12 치료계획서 상세 `M` `P0` — 치료계획서 상세. 참고: wireframes/web/59-therapist-plan.svg
- [ ] **15.4.4** TH-13 치료계획서 작성 (5 step) `L` `P0` — 치료계획서 작성 5스텝. 참고: docs/02 §3 JSONB(MED-005), wireframes/web/59-therapist-plan.svg
- [ ] **15.4.5** TH-14 회기 일지 목록 `S` `P0` — 회기 일지 목록. 참고: wireframes/web/60-therapist-session-form.svg
- [ ] **15.4.6** TH-15 회기 일지 작성 `M` `P0` — 회기 일지 작성. 참고: docs/02 §3 JSONB(MED-006), wireframes/web/60-therapist-session-form.svg
- [ ] **15.4.7** TH-16 평가 보고서 목록 `S` `P0` — 평가 보고서 목록. 참고: wireframes/web/61-therapist-evaluation.svg
- [ ] **15.4.8** TH-17 평가 보고서 작성 (4 step) `L` `P0` — 평가 보고서 작성 4스텝. 참고: docs/02 §3 JSONB(MED-007), wireframes/web/61-therapist-evaluation.svg
- [ ] **15.4.9** TH-20 의료 타임라인 `M` `P0` — 의료 타임라인. 참고: wireframes/web/62-therapist-timeline-settings.svg
- [ ] **15.4.10** TH-30/40 알림+설정 `S` `P0` — 알림+설정. 참고: wireframes/web/62-therapist-timeline-settings.svg

> 원본: docs/08-wbs-v1.1.md · 치료사 (TH)",Phase 15 · 웹 UI — 전문가(4역할),"phase:15,priority:P0,type:frontend,role:Dev-D",개발자 D,P0,24,15,치료사 (TH)
[16.1] 인증,"**Phase:** 16 · 모바일 앱(RN)  
**담당자:** 개발자 E (Dev-E)  
**우선순위:** P0  ·  **예상 공수:** 7d  ·  **작업 수:** 4  ·  **일정:** W11–W15

### 작업 목록
- [ ] **16.1.1** A-01 로그인 (모바일) `S` `P0` — 모바일 로그인. 참고: docs/06 §5 모바일 앱 IA, wireframes/mobile/01-m-login.svg
- [ ] **16.1.2** A-03 회원가입 역할 선택 `S` `P0` — 회원가입 역할 선택. 참고: wireframes/mobile/06-m-signup-role.svg
- [ ] **16.1.3** A-02/04/05/07 회원가입·인증·재설정 통합 `M` `P0` — 회원가입·이메일 인증·재설정 통합 플로우. 참고: docs/05 §1 온보딩
- [ ] **16.1.4** A-06 초대 수락 (Deep Link) `M` `P0` — 초대 수락(Deep Link 처리). 참고: §16.6.6

> 원본: docs/08-wbs-v1.1.md · 인증",Phase 16 · 모바일 앱(RN),"phase:16,priority:P0,type:mobile,role:Dev-E",개발자 E,P0,7,16,인증
